15-09-2023 13:05:44.285 [restartedMain] [student-forum, ] INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
15-09-2023 13:05:44.314 [restartedMain] [student-forum, ] INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn - Finished Spring Data repository scanning in 26 ms. Found 10 JPA repository interfaces.
15-09-2023 13:05:44.522 [restartedMain] [student-forum, ] INFO  o.s.b.w.e.tomcat.TomcatWebServer.initialize - Tomcat initialized with port(s): 8080 (http)
15-09-2023 13:05:44.524 [restartedMain] [student-forum, ] INFO  o.a.coyote.http11.Http11NioProtocol.log - Initializing ProtocolHandler ["http-nio-8080"]
15-09-2023 13:05:44.525 [restartedMain] [student-forum, ] INFO  o.a.catalina.core.StandardService.log - Starting service [Tomcat]
15-09-2023 13:05:44.525 [restartedMain] [student-forum, ] INFO  o.a.catalina.core.StandardEngine.log - Starting Servlet engine: [Apache Tomcat/10.1.12]
15-09-2023 13:05:44.544 [restartedMain] [student-forum, ] INFO  o.a.c.c.C.[Tomcat].[localhost].[/].log - Initializing Spring embedded WebApplicationContext
15-09-2023 13:05:44.544 [restartedMain] [student-forum, ] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext.prepareWebApplicationContext - Root WebApplicationContext: initialization completed in 492 ms
15-09-2023 13:05:44.567 [restartedMain] [student-forum, ] INFO  com.zaxxer.hikari.HikariDataSource.getConnection - HikariPool-1 - Starting...
15-09-2023 13:05:44.677 [restartedMain] [student-forum, ] INFO  com.zaxxer.hikari.pool.HikariPool.checkFailFast - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@25c10ef9
15-09-2023 13:05:44.677 [restartedMain] [student-forum, ] INFO  com.zaxxer.hikari.HikariDataSource.getConnection - HikariPool-1 - Start completed.
15-09-2023 13:05:44.705 [restartedMain] [student-forum, ] INFO  o.h.jpa.internal.util.LogHelper.logPersistenceUnitInformation - HHH000204: Processing PersistenceUnitInfo [name: default]
15-09-2023 13:05:44.722 [restartedMain] [student-forum, ] INFO  org.hibernate.Version.logVersion - HHH000412: Hibernate ORM core version 6.2.7.Final
15-09-2023 13:05:44.724 [restartedMain] [student-forum, ] INFO  org.hibernate.cfg.Environment.<clinit> - HHH000406: Using bytecode reflection optimizer
15-09-2023 13:05:44.768 [restartedMain] [student-forum, ] INFO  o.h.b.i.BytecodeProviderInitiator.buildBytecodeProvider - HHH000021: Bytecode provider name : bytebuddy
15-09-2023 13:05:44.813 [restartedMain] [student-forum, ] INFO  o.s.o.j.p.SpringPersistenceUnitInfo.addTransformer - No LoadTimeWeaver setup: ignoring JPA class transformer
15-09-2023 13:05:44.916 [restartedMain] [student-forum, ] INFO  o.h.b.i.BytecodeProviderInitiator.buildBytecodeProvider - HHH000021: Bytecode provider name : bytebuddy
15-09-2023 13:05:45.166 [restartedMain] [student-forum, ] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator.initiateService - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
15-09-2023 13:05:45.300 [restartedMain] [student-forum, ] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean.buildNativeEntityManagerFactory - Initialized JPA EntityManagerFactory for persistence unit 'default'
15-09-2023 13:05:45.585 [restartedMain] [student-forum, ] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration.openEntityManagerInViewInterceptor - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
15-09-2023 13:05:45.684 [restartedMain] [student-forum, ] INFO  o.s.s.web.DefaultSecurityFilterChain.<init> - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@54e540dd, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@68ef1a19, org.springframework.security.web.context.SecurityContextHolderFilter@6b11201, org.springframework.security.web.header.HeaderWriterFilter@3206c4dd, org.springframework.web.filter.CorsFilter@15042a35, org.springframework.security.web.authentication.logout.LogoutFilter@7d43abfd, com.omerfurkan.studentforum.security.JwtAuthenticationFilter@9f1681, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@87963e, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@106a01ca, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@7e6be784, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@306b0d44, org.springframework.security.web.session.SessionManagementFilter@5f4814a8, org.springframework.security.web.access.ExceptionTranslationFilter@5c4d442c, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@14b6e136]
15-09-2023 13:05:45.746 [restartedMain] [student-forum, ] INFO  o.s.b.d.a.OptionalLiveReloadServer.startServer - LiveReload server is running on port 35729
15-09-2023 13:05:45.755 [restartedMain] [student-forum, ] INFO  o.a.coyote.http11.Http11NioProtocol.log - Starting ProtocolHandler ["http-nio-8080"]
15-09-2023 13:05:45.761 [restartedMain] [student-forum, ] INFO  o.s.b.w.e.tomcat.TomcatWebServer.start - Tomcat started on port(s): 8080 (http) with context path ''
15-09-2023 13:05:45.767 [restartedMain] [student-forum, ] INFO  c.o.s.StudentforumApplication.logStarted - Started StudentforumApplication in 1.835 seconds (process running for 2.316)
